seq_id,project_id,sample_id,replicat,kit,soil_type,ext_method,ext_instrument,rpm,time_seconds,time_minutes,sample_weight_mg,sample_target,ext_position,ext_plate,lib_position,lib_plate,lib_conc,conc_nanodrop,260/280,260/230,conc_qubit,integrity,library_id,lib_volume,experiment,before_total_reads,before_total_bases,before_q20_bases,before_q30_bases,before_q20_rate,before_q30_rate,before_read1_mean_length,before_read2_mean_length,before_gc_content,after_total_reads,after_total_bases,after_q20_bases,after_q30_bases,after_q20_rate,after_q30_rate,after_read1_mean_length,after_read2_mean_length,after_gc_content,passed_filter_reads,corrected_reads,corrected_bases,low_quality_reads,too_many_N_reads,too_short_reads,too_long_reads,duplication_rate,peak,seq_run,seq_lane
MFD004-2-S2-MJ362-E9_02,MFD004,MFD004-2,S2,PowerSoil Pro HT,Sand-Clay,Bead Beating,Fastprep-96,1800,360,6,125.2,125,D3,Benchmarking V1.2,E9,Small_v_full,0.3,46.77,1.82,1.63,63.06,Not measured,LIB-MFD004-2-1800-S2,Small-scale,Small_v_full_metagenome,38442472,5804813272,5436543809,4969688833,0.936558,0.856132,151,151,0.619535,27540746,4087740121,3983191165,3738856204,0.974424,0.914651,148,148,0.622759,28070272,931425,1201544,2226486,198,8145516,0,0.0143148,151,small_v_full,2
MFD004-2-S3-MJ362-F9_02,MFD004,MFD004-2,S3,PowerSoil Pro HT,Sand-Clay,Bead Beating,Fastprep-96,1800,360,6,132,125,E3,Benchmarking V1.2,F9,Small_v_full,0.29,59.87,1.84,1.81,55.57,Not measured,LIB-MFD004-2-1800-S3,Small-scale,Small_v_full_metagenome,33332730,5033242230,4683033418,4254045031,0.930421,0.84519,151,151,0.619993,23133048,3436864069,3342719597,3126328040,0.972607,0.909646,148,148,0.623659,23538534,657644,844369,2261598,146,7532452,0,0.0126257,151,small_v_full,2
MFD004-3-F1-MJ362-D4_02,MFD004,MFD004-3,F1,PowerSoil Pro HT,Sand,Bead Beating,Fastprep-96,1600,360,6,125.1,125,B9,Bead Beating Optimization P2,D4,Small_v_full,11.22,13.34,1.86,1.79,11.29,10706,LIB-MFD004-3-1600-F1,Full-scale,Small_v_full_metagenome,28180132,4255199932,3981920513,3645960128,0.935778,0.856825,151,151,0.620845,19607476,2894120234,2823040503,2653806454,0.97544,0.916965,147,147,0.625918,19989370,1099913,1405832,1562806,84,6627872,0,0.0140044,151,small_v_full,2
MFD004-3-F2-MJ362-E4_02,MFD004,MFD004-3,F2,PowerSoil Pro HT,Sand,Bead Beating,Fastprep-96,1600,360,6,126.3,125,C9,Bead Beating Optimization P2,E4,Small_v_full,13.97,14.58,1.91,1.7,13.47,12929,LIB-MFD004-3-1600-F2,Full-scale,Small_v_full_metagenome,19592712,2958499512,2786356261,2561591295,0.941814,0.865841,151,151,0.621155,14059446,2078852738,2029157651,1910243805,0.976095,0.918893,147,147,0.626821,14281646,624998,805882,912214,98,4398754,0,0.0117884,151,small_v_full,2
MFD004-3-F3-MJ362-F4_02,MFD004,MFD004-3,F3,PowerSoil Pro HT,Sand,Bead Beating,Fastprep-96,1600,360,6,117.5,125,D9,Bead Beating Optimization P2,F4,Small_v_full,5.2,10.05,1.79,1.82,8.33,13312,LIB-MFD004-3-1600-F3,Full-scale,Small_v_full_metagenome,33709288,5090102488,4773996491,4377321363,0.937898,0.859967,151,151,0.619561,23512678,3471344201,3387051204,3186439007,0.975717,0.917927,147,147,0.625981,23906318,1103217,1413446,1780760,196,8022014,0,0.012175,151,small_v_full,2
MFD004-3-S1-MJ362-D8_02,MFD004,MFD004-3,S1,PowerSoil Pro HT,Sand,Bead Beating,Fastprep-96,1600,360,6,125.1,125,B9,Bead Beating Optimization P2,D8,Small_v_full,0.72,13.34,1.86,1.79,11.29,10706,LIB-MFD004-3-1600-S1,Small-scale,Small_v_full_metagenome,30076084,4541488684,4254486116,3898601641,0.936804,0.858441,151,151,0.612119,20614242,3017061780,2943856361,2769792669,0.975736,0.918043,146,146,0.618046,20986090,1521216,1978481,1646432,120,7443442,0,0.0129924,151,small_v_full,2
MFD004-3-S2-MJ362-E8_02,MFD004,MFD004-3,S2,PowerSoil Pro HT,Sand,Bead Beating,Fastprep-96,1600,360,6,126.3,125,C9,Bead Beating Optimization P2,E8,Small_v_full,0.79,14.58,1.91,1.7,13.47,12929,LIB-MFD004-3-1600-S2,Small-scale,Small_v_full_metagenome,51393704,7760449304,7284966309,6699214006,0.93873,0.863251,151,151,0.612218,36106944,5296232892,5174885089,4881161184,0.977088,0.921629,146,146,0.618724,36851646,2518444,3255254,2621296,158,11920604,0,0.0150194,151,small_v_full,2
MFD004-3-S3-MJ362-F8_02,MFD004,MFD004-3,S3,PowerSoil Pro HT,Sand,Bead Beating,Fastprep-96,1600,360,6,117.5,125,D9,Bead Beating Optimization P2,F8,Small_v_full,0.54,10.05,1.79,1.82,8.33,13312,LIB-MFD004-3-1600-S3,Small-scale,Small_v_full_metagenome,32299678,4877251378,4589726001,4226704366,0.941048,0.866616,151,151,0.612428,22192636,3233524639,3161109796,2984021446,0.977605,0.922839,145,145,0.619796,22597664,1808724,2345192,1473226,100,8228688,0,0.0131019,151,small_v_full,2
MFD004-4-F1-MJ362-G4_02,MFD004,MFD004-4,F1,PowerSoil Pro HT,Clay,Bead Beating,Fastprep-96,1600,360,6,125.7,125,E10,Bead Beating Optimization P2,G4,Small_v_full,6.98,49.96,1.92,2.14,44.39,10455,LIB-MFD004-4-1600-F1,Full-scale,Small_v_full_metagenome,33568128,5068787328,4743739327,4338483026,0.935873,0.855921,151,151,0.636207,23612500,3493943944,3406396517,3199021888,0.974943,0.915591,147,148,0.641114,23977912,1028042,1324601,1844554,138,7745524,0,0.0112737,151,small_v_full,2
MFD004-4-F2-MJ362-H4_02,MFD004,MFD004-4,F2,PowerSoil Pro HT,Clay,Bead Beating,Fastprep-96,1600,360,6,120.7,125,F10,Bead Beating Optimization P2,H4,Small_v_full,10.02,43.11,1.91,2.09,40.73,10589,LIB-MFD004-4-1600-F2,Full-scale,Small_v_full_metagenome,21638464,3267408064,3056076909,2790267685,0.935321,0.85397,151,151,0.638683,15078126,2233802293,2176694044,2042032447,0.974435,0.914151,148,148,0.642816,15343180,581955,740973,1303210,94,4991980,0,0.0127921,151,small_v_full,2
