A1: Ladder,B1: FastSpin-HT,C1: ,D1: ,E1: ,F1: ,G1: ,H1: ,A2: ,B2: ,C2: ,D2: ,E2: ,F2: ,G2: ,H2: 
11.10483,2.140538,1.54607,1.117342,0.7173727,0.491607,0.9372191,0.8643948,1.209525,0.9205632,1.730912,5.88813,2.748241,1.868305,0.7719713,0.7543483
11.14057,2.165278,1.599652,1.102967,0.6841207,0.5465123,0.9762905,0.8926011,1.425796,0.8525319,2.362388,6.010078,2.863978,1.938899,0.7648059,0.7432575
11.62264,2.156586,1.665046,1.082926,0.8490414,0.7105651,0.910664,0.9590813,1.589465,0.8502004,2.775911,6.090847,3.808404,1.960196,0.7833018,0.7661429
11.79294,2.070464,1.764387,1.145361,0.9200811,0.7592661,0.8658359,1.07985,1.664608,0.9938507,2.964901,6.011533,5.212544,1.908762,0.7985316,0.8203583
11.84112,1.968355,1.810034,1.166634,1.018224,0.7445115,0.8897355,1.118248,1.517595,1.116242,3.267694,5.746084,6.454106,1.876675,0.7738257,0.9299351
11.81557,2.033345,1.710968,1.210991,1.07561,0.798332,0.9015494,1.159492,1.540479,1.192195,3.521094,5.259208,7.469772,1.841364,0.7679093,0.9586437
11.71647,2.163561,1.667552,1.202773,1.029851,0.8600326,0.9476033,1.227041,1.589391,1.23033,3.437692,5.274555,7.591266,1.719434,0.832701,0.8280944
12.15777,2.186571,1.62572,1.185535,1.12788,0.9224982,1.050875,1.205721,1.469202,1.284332,3.114933,5.504882,7.009494,1.679216,0.8913665,0.7638702
12.13574,2.168139,1.588192,1.160537,1.294097,0.9251359,1.146618,1.208208,1.349373,1.373862,3.037933,5.644847,6.074902,1.751079,0.8859904,0.7330641
12.14919,2.14275,1.505703,1.170786,1.343135,0.962164,1.164827,1.197433,1.325889,1.459263,3.136387,6.148739,5.318535,1.70984,0.8795476,0.6462645
12.01869,2.140534,1.479311,1.125443,1.415858,0.8604515,1.092044,1.173268,1.328177,1.563262,2.919785,6.688275,4.985376,1.781048,0.8470409,0.6337625
11.75118,2.021794,1.490789,1.223382,1.345507,0.6811672,1.078968,1.139955,1.383878,1.552558,2.640763,6.711084,5.268835,1.821882,0.7913616,0.6998259
11.46104,1.979353,1.517085,1.24439,1.216763,0.555181,1.088246,1.013784,1.578202,1.548118,2.774282,6.913349,5.764908,1.971961,0.6892538,0.8118504
11.52034,2.017426,1.470335,1.326941,1.016621,0.5961336,1.093672,0.9785318,1.669857,1.592605,2.932492,6.687572,6.078628,1.946012,0.6557223,0.8602281
11.40498,2.010389,1.474124,1.379251,0.9493859,0.6586902,1.114041,1.054247,1.888376,1.623466,3.014851,6.389354,6.197748,1.844769,0.7193775,0.8255534
