A1: Ladder,B1: ZymoMagbead-HT,C1: ,D1: ,E1: ,F1: ,G1: ,H1: ,A2: ,B2: ,C2: ,D2: ,E2: ,F2: ,G2: ,H2: 
9.567068,1.778468,0.746741,0.633069,0.8172011,0.9110461,0.4103243,0.5421058,0.5631681,0.3939532,0.6696221,0.5169278,0.8944153,0.6223036,0.6987684,0.3344336
10.11187,1.87943,0.8095802,0.6373634,0.8382211,0.9247029,0.4523343,0.5425584,0.4930183,0.4314586,0.6366309,0.6322411,1.161684,0.6717056,0.7550578,0.4448722
10.3404,2.049911,0.8307515,0.7407061,0.9374515,0.9293107,0.6128767,0.658643,0.4493771,0.5049325,0.6925564,0.6814269,1.287109,0.5643016,0.8036244,0.4959827
10.75489,2.106534,0.8949804,0.8494405,1.05333,0.9459274,0.7401861,0.7852119,0.4551426,0.6718383,0.68927,0.7132964,1.332018,0.562421,0.8494394,0.528868
10.90776,2.29108,0.9423829,0.8728416,1.146639,0.9719399,0.7968005,0.7980784,0.5856959,0.8685326,0.7214981,0.8128111,1.30205,0.631447,0.892924,0.5472721
11.17614,2.409829,1.034107,0.9346006,1.300158,0.9797897,0.8619989,0.8229225,0.7742348,1.070057,0.6893865,0.8708555,1.208699,0.7146466,0.9295424,0.575505
11.58155,2.598417,1.088412,0.9945903,1.395132,0.9967312,0.867027,0.8099418,1.078619,1.244613,0.7049528,0.9098537,1.19041,0.8330315,0.9889343,0.5912485
11.42227,2.711419,1.134321,1.040691,1.490132,1.160173,0.8884392,0.8011612,1.370191,1.29607,0.7899399,0.8988679,1.286879,0.820847,1.050813,0.5525808
11.53957,2.865623,1.19218,1.050985,1.525342,1.304504,0.9475015,0.8242479,1.332845,1.224676,0.8839931,0.8948645,1.563412,0.8389673,1.117702,0.5791904
11.52991,2.935955,1.21869,1.097046,1.623646,1.328812,0.9584931,0.8177422,1.467898,1.177629,0.9637651,0.9021,1.718218,0.9496168,1.184728,0.691151
11.41538,2.964458,1.199933,1.177756,1.746552,1.405927,1.027858,0.8837501,1.524733,1.14306,0.9787343,0.928359,1.779756,1.050127,1.257586,0.7714178
11.34129,2.98481,1.206946,1.25343,1.855939,1.490659,1.164195,0.941101,1.587927,1.195738,1.032746,1.04397,1.762813,1.079068,1.321113,0.8079285
11.58696,3.007522,1.233175,1.272363,1.880034,1.529495,1.185593,1.000228,1.678199,1.266722,1.136171,1.143826,1.746262,1.09434,1.379737,0.866948
11.81885,3.088308,1.318227,1.342171,2.010605,1.52194,1.216632,1.038342,1.818407,1.342223,1.243047,1.296285,1.778611,1.115045,1.456275,0.9162122
