A1: Ladder,B1: Fastspin-LT,C1: ,D1: ,E1: ,F1: ,G1: ,H1: ,A2: ,B2: ,C2: ,D2: ,E2: ,F2: ,G2: ,H2: 
3.903257,15.73765,19.1427,8.098042,38.26692,16.62822,23.53993,11.85485,15.68479,1.685953,4.404055,8.055658,1.324243,0.4241564,0.1443629,0.2097399
4.578859,15.82956,20.02031,7.877477,39.57755,15.88968,25.06348,12.56426,15.54658,1.676735,4.086901,9.340677,0.6398236,0.4985208,0.1963823,0.3310245
4.856331,17.53662,21.18428,7.579936,40.53973,15.48626,27.52921,13.46278,16.17954,1.682008,3.587641,10.54872,0.6009652,0.4401598,0.2681197,0.4549684
5.156955,19.87245,22.65168,8.369314,41.80412,14.31573,29.80383,13.78489,15.83351,1.300278,2.899356,10.75749,1.406694,0.5743822,0.4111976,0.584565
5.355832,21.85407,22.96357,8.873805,41.38774,14.25515,31.70047,14.66078,15.46638,1.637664,2.443785,10.9629,2.902061,0.728965,0.5806306,0.6505123
5.402019,23.66625,23.04177,8.795856,41.84126,14.32557,34.06038,14.89259,15.7766,1.769182,2.263229,11.03171,4.838249,0.7226551,0.5358806,0.6304674
5.514712,25.32837,22.61244,9.22574,42.79559,14.63199,36.40188,15.69121,16.24913,1.500453,1.110846,10.1403,5.429253,0.7979425,0.523487,0.6897126
5.486684,27.25547,21.82258,9.650201,44.36645,14.65412,39.06512,17.69403,15.71186,0.8912932,1.083272,10.0269,6.035427,0.897859,0.4616738,0.668918
5.79446,28.39951,21.42322,9.091832,45.08,15.03004,41.5462,19.79881,14.75442,0.8171272,1.418289,10.24732,5.035079,0.9164156,0.4030237,0.5741051
6.427686,28.70933,21.2142,7.962874,46.45087,15.28191,43.03813,21.29625,14.1964,1.112138,1.307148,10.72686,3.754068,0.859672,0.3297003,0.504493
6.925318,29.51656,22.15866,8.105554,47.36096,15.39382,43.61197,22.1102,14.76946,1.34425,2.176309,10.79447,1.58071,0.8241199,0.2360103,0.3936361
7.526362,32.47914,23.444,9.46864,49.33475,15.20168,44.85354,23.22432,14.44813,1.256459,3.055129,10.53821,0.6741504,0.7625795,0.2760793,0.2955018
8.422647,34.41205,24.02983,11.47703,49.14011,16.08152,45.61422,25.74798,13.31695,1.61202,3.654867,10.12445,0.1038925,0.928098,0.3825633,0.19854
8.951243,35.77691,22.78848,13.00532,47.90007,17.37421,46.87079,28.33713,13.53246,1.937675,4.266789,10.66229,0.5576627,0.7568741,0.4137537,0.05684853
9.361855,36.43533,23.54332,14.88869,46.57849,17.26819,48.08837,30.18122,13.66505,1.821208,3.964791,10.04352,1.231874,0.7192259,0.404404,0.09891758
9.392048,37.26962,23.0495,16.56384,44.60721,17.47116,49.85269,31.94902,13.31092,1.838496,3.499317,9.592869,1.778278,0.7557772,0.5492424,0.2662759
9.768857,38.23151,22.99366,17.33743,44.73929,17.65594,51.87473,33.47271,13.23523,2.034758,3.581097,9.688296,2.667672,0.808484,0.6800298,0.3607399
10.03422,38.27662,23.02591,16.05803,43.87777,17.79757,53.60302,34.07038,13.75512,2.479059,3.52366,9.638399,2.393738,0.8451655,0.6953056,0.4340408
10.01475,38.26503,23.42378,14.16932,43.19251,16.79208,54.83535,34.58707,14.95973,2.832922,3.715539,9.884013,2.387491,0.9117373,0.6729703,0.6231391
9.948902,38.50795,24.52682,14.33875,43.86122,16.29677,55.19458,33.92287,15.07199,2.801106,3.343974,10.05198,2.820467,1.010742,0.5868617,0.7685735
10.13342,38.74303,26.76206,14.54432,46.01262,15.78178,56.41332,34.84655,15.2216,3.063133,3.218598,10.61403,3.743981,1.237484,0.5586566,0.7955443
10.67489,37.91074,28.25373,16.30804,48.45048,15.95543,56.45177,36.52741,15.81118,3.028616,3.204541,10.99008,5.136921,1.459291,0.5418696,0.8070764
11.14755,38.4033,29.88034,17.84084,49.28487,15.1858,56.62917,38.10556,16.20724,2.948297,2.922931,11.23331,6.374822,1.399438,0.5147402,0.8329855
11.47998,40.06836,29.6877,20.92784,49.32244,14.92571,56.25842,38.99619,16.26783,3.146117,3.84877,10.8767,7.840843,1.547325,0.7061953,0.9053141
11.71461,42.81043,29.22839,21.95747,49.88298,15.24805,57.06662,39.02433,16.64925,3.202554,5.300549,10.82166,7.795981,1.576307,0.8136976,0.8443614
11.90483,45.09531,29.49127,23.24831,49.54397,15.91704,57.88142,39.10807,16.76266,3.307846,6.781643,10.36107,7.744223,1.524514,0.8436545,0.8003829
11.92367,48.15454,29.11919,23.99265,47.41066,16.83914,58.83157,39.21225,17.46061,3.67878,7.766553,10.3257,7.731591,1.459015,0.8039714,0.826803
11.54324,50.49191,29.59695,25.28281,45.76929,17.77763,58.26836,38.10476,17.94633,3.752106,8.551726,10.93172,7.262331,1.524139,0.8056681,0.9114984
11.67064,51.68599,31.22507,27.42494,45.22311,19.19422,57.83239,37.6637,17.7801,4.295707,9.645454,11.24679,8.162641,1.446473,0.8083215,0.893278
11.95797,51.8242,33.83577,29.22548,46.27229,20.90222,58.19123,37.67909,17.93885,4.844347,9.705882,12.05318,9.716961,1.55968,0.9802803,0.9340392
12.39799,52.39435,36.34087,31.23727,47.04742,22.39318,57.44711,37.90623,18.09501,5.425982,10.51562,12.92965,11.39936,1.662363,1.080852,0.9867062
12.64196,55.13881,37.74105,33.50269,47.81456,22.80638,56.476,38.96624,18.63707,5.915746,11.3646,13.89841,12.69504,1.695302,1.135618,1.098836
13.35845,56.96828,38.59832,34.45256,49.63433,22.99476,56.33083,39.04007,19.12263,6.380962,12.55382,14.50473,13.96688,1.737569,1.110778,1.088063
14.30388,58.39194,40.42283,34.48215,51.01035,23.1586,56.868,39.14349,19.99605,6.511804,13.04245,15.33482,15.013,1.755892,1.151554,1.12535
14.87905,58.38831,41.53519,36.43319,51.27593,23.11393,57.563,38.81683,20.99764,6.592368,13.28955,16.47439,16.9201,1.829181,1.128166,1.11066
15.09084,58.43206,43.34874,39.74429,51.99958,23.01454,58.10477,41.10449,22.22359,6.586664,12.9217,17.65109,18.07318,1.938114,1.147444,1.124685
