A1: Ladder,B1: Fastspin-LT,C1: ,D1: ,E1: ,F1: ,G1: ,H1: ,A2: ,B2: ,C2: ,D2: ,E2: ,F2: ,G2: ,H2: 
73.31998,236.7221,187.5207,180.9954,185.5533,124.4014,204.8377,213.9421,122.174,80.78743,92.6462,116.239,107.684,44.00004,48.9021,41.91578
67.47944,240.613,190.231,184.9174,187.274,124.6426,206.7131,218.1397,122.3929,78.82557,92.18523,115.9945,109.5997,42.00578,46.52369,39.60091
62.50665,245.3267,191.8127,189.2639,188.8776,125.2688,207.3809,221.4761,121.5347,77.59843,92.64776,116.243,111.9081,40.1716,44.45898,37.42436
58.2712,250.5777,194.1346,193.5895,189.61,126.0287,207.9558,223.5193,121.1079,76.61449,93.6571,116.7436,112.3286,38.4508,42.22488,35.32303
55.10885,253.0352,196.6326,197.4511,190.3942,126.3997,208.6491,223.5009,120.6939,75.27248,92.82948,118.1363,112.4286,36.70726,39.79555,33.43223
52.13352,254.1073,199.8742,199.4386,191.0341,125.7763,209.0987,223.8616,118.7594,73.33387,91.44424,119.0278,112.7117,34.86886,37.25245,31.49396
49.38422,256.1074,203.7457,202.7827,191.4565,124.4205,210.7549,223.3748,117.6978,70.95536,90.72443,119.4248,113.4567,32.44625,34.70995,29.46543
46.68077,258.7497,205.6623,206.1438,191.0635,122.8019,212.4381,223.1804,114.9989,68.4761,90.13866,119.8008,112.7952,30.09611,32.11653,27.67103
43.858,261.7405,207.0602,207.36,191.0993,121.8497,213.9044,223.2837,113.3394,66.43639,89.89955,120.5764,112.4116,27.90601,29.67037,25.96689
40.95341,265.1211,207.7292,207.7647,190.6039,121.9025,214.7642,224.0681,111.9958,64.09691,90.09409,120.4233,112.7922,26.05097,27.33867,24.34617
38.03555,268.527,208.1815,208.3441,191.1417,121.3274,213.9418,225.3691,110.1409,61.62131,90.27775,120.1849,112.203,24.27091,25.29175,22.86062
35.94751,272.5255,209.4532,210.1404,191.0734,120.195,213.5474,225.4214,108.9879,59.57881,89.57581,120.3129,110.0234,22.73462,23.36643,21.44802
34.92915,275.6059,210.8661,212.1798,191.9575,118.2975,213.5011,225.7185,107.4476,58.01257,88.58909,121.2529,108.2117,21.44595,21.65566,19.99886
34.8409,275.0054,210.6442,213.9157,191.8432,116.5394,211.8247,225.748,105.625,56.04253,86.89983,122.8729,106.388,20.28182,20.1259,18.77317
35.42577,274.1583,210.8835,216.8837,191.6001,113.955,209.4015,224.5532,103.7108,54.67854,86.74806,123.4012,106.2511,19.24929,18.83968,17.66423
37.12579,274.1574,212.3279,219.9153,191.9083,112.2126,208.1921,222.9103,101.2719,53.71388,87.51057,124.2305,105.1415,18.27278,17.78845,16.74321
41.08596,273.3189,210.9333,220.8867,190.1055,110.9067,207.564,221.5224,99.86127,52.84014,89.23281,124.8795,106.2252,17.31731,16.87831,16.02894
47.66805,273.1035,209.4919,220.4888,188.0128,110.9991,206.932,221.1556,100.0728,51.91666,91.41454,125.9206,108.1488,16.72054,16.04127,15.38981
57.3844,271.6465,206.493,220.6966,186.0532,111.6246,205.1766,220.6867,100.862,50.54447,93.13882,126.0331,110.4371,16.36054,15.30541,14.83721
70.99937,270.4753,203.4709,221.0524,184.1034,112.1941,203.4437,219.6588,101.7323,49.58018,93.54862,125.7116,109.8611,16.07968,14.52928,14.33762
89.69352,269.8874,202.5797,221.4711,181.9529,111.8405,202.9659,218.6386,101.4689,48.22308,93.34521,125.2474,109.1299,15.82836,14.00409,13.84948
114.9963,268.9782,203.7326,221.8004,180.7471,112.025,200.7557,218.0385,100.2742,46.57463,92.59068,125.3397,108.882,15.66378,13.5459,13.52061
144.3739,267.1209,205.9817,223.3773,180.2115,111.8186,198.6102,216.5037,98.68574,45.95005,92.66826,124.7154,110.7811,15.47177,13.12154,13.33299
176.7128,265.6252,210.4486,225.3311,179.6611,110.8901,197.1665,214.6065,96.37302,45.12192,92.10556,124.6438,110.4425,15.26061,12.83592,13.15817
211.1936,265.8618,213.3964,226.6452,179.0313,109.4761,196.0641,212.9889,94.07098,44.38776,92.26258,124.8538,110.2424,14.99803,12.45714,13.0671
246.7746,267.4227,213.0692,227.3826,176.4681,108.1474,195.8357,211.771,93.09186,44.23388,92.47281,125.7713,111.43,14.78191,12.13671,12.81438
280.0012,271.5208,212.5969,227.9496,174.6581,107.3415,195.0047,211.5623,93.37736,44.03321,92.99172,126.1164,111.8999,14.64767,11.76763,12.63296
306.8696,272.7051,208.7265,226.8429,171.8026,106.1698,194.5426,210.958,92.12679,44.28886,93.17585,125.7773,111.1089,14.49931,11.4453,12.56833
327.919,272.7716,206.4256,227.127,169.6007,106.2012,193.4,209.4145,91.7767,44.41488,93.86198,124.4119,110.7539,14.30469,11.29425,12.34139
339.773,271.2396,205.3028,226.8744,167.9496,105.7958,191.7792,207.6031,90.92917,44.21592,94.01974,124.0381,109.4499,14.08851,11.24496,12.23692
341.5015,267.6098,205.3871,226.7338,166.109,104.9575,189.1803,206.2236,90.70549,44.42147,94.28184,123.4914,110.2645,13.86294,11.31642,12.21269
331.4294,263.2806,205.7135,228.3104,164.7317,104.4753,188.1615,204.8247,90.74303,44.01382,94.59274,123.4731,110.0365,13.80844,11.3926,12.2006
311.3443,258.2287,205.5032,225.6776,162.9403,103.6535,186.8015,203.1412,90.62738,43.31522,95.12688,124.0389,109.0783,13.80369,11.32351,12.15396
283.4846,253.5401,204.2281,222.2288,160.3994,102.8999,185.2784,202.3511,90.19344,42.89491,96.27558,124.7886,109.9591,13.84372,11.20872,12.00461
249.9608,251.8736,202.9339,219.4731,159.3524,102.9616,184.1458,201.7895,90.41145,42.37666,95.42114,125.9269,110.5113,13.82895,11.0538,11.84787
213.6693,253.4949,203.2543,217.6832,158.036,102.6002,183.088,202.4106,88.77084,41.87679,95.63853,126.2673,110.8537,13.75723,10.81598,11.8773
179.8062,253.7843,202.4786,217.6487,156.6048,102.2089,182.3086,202.6858,86.90459,41.53316,96.41731,125.6988,112.2706,13.62041,10.77593,11.73971
148.8927,253.3875,199.9708,217.6814,154.9885,101.8747,180.1106,201.8746,84.93403,41.22016,96.45765,125.6088,112.2453,13.42349,10.68256,11.54146
122.2533,253.2836,197.2872,218.2379,153.4575,100.1392,178.2825,200.4895,82.84455,40.77797,96.19492,124.3433,111.489,13.25886,10.71908,11.59174
101.4485,252.5027,194.2012,219.4989,152.0678,99.13568,175.9001,198.4663,82.22634,40.49509,96.53537,122.487,110.5837,13.10397,10.72806,11.54131
85.07846,252.2611,191.2256,220.2473,150.1613,98.13978,174.2621,196.4858,82.29274,39.97399,97.31583,120.5933,110.5452,13.21707,10.73104,11.51908
73.22989,250.8733,190.4317,217.5247,148.7132,97.06905,173.5203,194.6878,82.36758,39.43189,97.50136,118.9884,111.0163,13.25648,10.65976,11.49527
64.094,248.526,190.1251,215.2563,147.1304,96.48157,173.0096,192.2824,82.28853,38.96984,96.94443,118.3468,111.2125,13.25557,10.54024,11.48359
57.72203,246.0053,190.5832,214.4297,147.2562,95.26928,172.4715,190.2987,81.91422,38.73401,94.78098,119.1299,111.1197,13.0607,10.45902,11.40852
54.02441,244.0407,190.5328,212.9373,146.2232,94.13684,172.1612,189.0432,81.73604,38.58746,96.15855,120.2685,111.804,13.013,10.44065,11.28014
50.86545,240.745,189.1385,212.3626,144.8272,93.43977,171.7357,188.4433,81.68346,38.67632,95.99619,121.7244,112.7372,12.99795,10.40842,11.1309
48.45559,237.9123,187.7356,210.4627,142.5673,93.65793,170.4905,187.4693,80.27446,38.77002,95.82347,123.3461,111.522,13.03942,10.32365,11.14661
45.30714,236.5591,186.5482,209.6879,142.2341,93.4431,168.5276,186.9262,79.04012,39.29563,96.09013,123.4086,109.8384,13.11017,10.33864,11.0915
42.53683,236.4833,184.3687,209.6709,142.3594,93.27576,165.6062,186.6951,78.53461,39.13651,96.92621,124.0104,109.4967,13.1737,10.30971,11.04953
40.29501,237.612,183.0817,210.0903,139.4032,92.64533,163.6507,187.1338,77.73312,38.76385,96.22753,123.7233,109.4043,13.32281,10.25857,11.03218
38.40648,237.7026,182.4967,208.7718,137.4427,91.9422,161.9343,187.3219,77.67944,38.22187,96.71628,122.1199,107.787,13.4701,10.10381,11.06425
37.22665,236.1541,182.4389,205.9954,134.8713,91.08472,159.4415,186.1935,76.74803,37.8376,95.66215,120.9615,107.0431,13.27061,10.12179,11.0528
37.65808,233.7622,181.7853,203.7786,132.1064,90.51641,157.2297,185.741,75.96484,37.63305,96.68061,120.0095,106.1847,13.01187,10.1307,11.06664
37.96206,231.7292,181.3801,200.1343,128.2575,90.67109,157.4624,184.6632,75.66753,37.31759,97.21502,119.2143,106.5335,12.96515,10.03916,11.1524
39.927,228.9271,181.9894,198.8067,126.3172,91.0934,158.001,183.8064,74.0985,37.00838,96.30158,119.1112,106.4407,12.88886,9.923134,11.14495
43.62852,227.1158,181.8874,198.2544,125.2807,91.48471,157.8716,182.7052,72.93797,36.89197,96.17381,119.6546,105.0251,12.85263,10.00945,11.12556
50.80986,224.8922,181.5693,198.3287,127.6499,90.25311,156.9031,181.507,72.72337,36.6437,95.49551,120.5623,104.9468,12.79922,9.996079,11.04174
63.18277,224.1044,179.7138,198.7936,131.2538,88.68141,155.4096,181.2748,72.3196,36.11301,94.7385,121.1746,105.7311,12.99412,9.933727,10.95732
81.65144,224.8825,178.2157,199.0855,133.5168,87.44495,154.0741,180.5414,72.75482,35.24496,94.84388,121.0747,105.7418,13.07204,9.910854,10.86685
106.0868,224.1977,176.2128,198.1732,137.4392,87.89962,152.6815,179.6459,72.23647,34.77851,95.97548,121.0839,106.0297,13.20597,9.924136,10.69551
137.134,223.311,175.2528,196.1959,136.3678,88.7342,150.1697,178.9562,72.17863,34.74489,96.61954,121.2208,107.2408,13.08012,10.07689,10.61494
172.9193,222.1843,174.9492,193.8749,134.5601,89.12087,148.8356,178.2859,71.64583,34.48072,97.3773,120.5272,109.1093,13.14498,10.0286,10.68241
212.7316,219.7309,174.193,191.5351,132.404,90.14487,149.2748,177.0762,70.67789,33.88606,97.08955,120.5281,110.8529,13.24709,10.11301,10.83288
253.9814,216.94,172.3576,191.072,129.8008,90.51514,149.2237,176.1,69.97532,34.73017,97.49821,120.7189,110.6358,13.09879,10.1786,10.84923
293.0793,215.9115,170.0618,191.0694,128.6368,89.42441,148.7515,175.748,70.30718,33.93376,96.86608,120.3416,110.3961,12.9673,10.1904,10.97728
327.5906,216.14,169.6959,190.2441,127.3074,87.3641,148.5485,175.1986,70.32394,33.30618,95.62168,120.0089,109.8165,12.95426,10.14607,11.11705
354.2717,215.3929,168.846,190.1944,125.0862,86.37059,148.4966,175.2009,69.71703,32.66921,96.1134,119.2467,108.7752,13.15281,10.01696,11.22047
370.7697,214.5623,167.9281,190.2969,123.8954,86.20121,148.6955,173.8706,68.53,32.42215,98.15816,119.4045,106.2896,13.08757,9.968268,11.11324
371.3147,213.35,168.1198,189.4659,123.4746,86.10717,148.3179,173.2718,67.96269,32.7268,99.28715,120.1811,104.7516,13.08162,9.978252,11.00796
359.9508,213.7716,168.6389,188.0145,122.1029,85.58817,147.4534,173.1502,67.26472,33.4898,100.1822,119.5925,103.2532,13.07497,9.996806,10.95673
336.7569,212.623,169.685,185.4191,121.2419,84.65339,146.3977,171.9197,65.61078,33.85303,100.9511,119.1313,104.1224,13.19206,10.03999,11.00221
303.9092,211.153,168.456,183.6383,120.8871,84.65218,145.7734,171.1982,65.92355,34.70562,101.3836,119.2554,105.6711,13.24469,10.09493,11.03996
266.1376,209.5646,167.4836,183.3878,122.3616,84.35322,144.121,171.5095,67.03119,34.50887,101.3533,119.0077,107.7408,13.12744,10.10613,11.02559
225.6875,208.2383,165.6925,183.879,122.7046,84.3083,143.2222,171.8275,68.31141,33.79546,100.4192,119.2817,109.1896,13.23892,10.1087,11.0325
187.4872,207.662,165.2431,185.1663,121.1134,84.63041,143.5184,172.3231,69.02541,33.0997,99.6532,119.4857,109.2205,13.43237,10.047,11.07024
153.1542,205.5385,164.3081,185.6459,119.8028,84.76389,143.5782,172.5683,69.36044,32.71738,99.70428,119.8006,108.5776,13.47622,10.07248,11.09636
123.5124,204.9766,163.1295,184.3022,119.0261,85.4232,143.2435,171.3609,70.51194,32.50912,100.1639,121.3134,107.2871,13.53089,10.13782,11.06191
100.6314,204.8349,163.4663,183.8615,118.4623,85.11514,142.7078,171.5962,70.20034,32.67923,99.68922,121.6593,107.2915,13.4101,10.2769,11.06327
83.82498,205.9416,164.3909,182.5468,118.3444,84.63565,142.9619,171.7151,69.11302,33.11211,99.75861,121.7914,108.2198,13.37592,10.23758,11.10933
71.78293,207.1688,163.0636,182.0342,119.8275,83.67735,142.1974,170.9859,69.21722,32.94121,99.41798,121.3493,108.5444,13.48781,10.31165,11.23516
63.70293,206.9777,162.1247,181.439,121.6484,83.25038,142.1106,171.6301,69.16306,33.02996,99.34369,120.4726,108.9645,13.59141,10.31398,11.26379
58.6065,205.5249,160.2351,182.6548,122.64,83.85512,141.9928,171.9073,68.10461,32.954,100.2715,119.7104,107.7274,13.62563,10.29197,11.24809
54.50873,204.0102,159.7137,184.5986,121.7637,83.84734,142.8555,171.758,67.99658,33.02849,101.2643,120.2038,105.9241,13.83508,10.14779,11.20555
50.89783,203.8605,160.0792,184.8698,120.6883,84.0522,144.2053,172.4231,67.39478,33.61,102.5457,120.4171,103.8858,13.92432,10.03203,11.18453
48.06278,206.4916,159.9416,184.0601,119.1848,84.82864,144.6637,172.1403,67.22231,33.72148,103.6976,120.6848,104.1529,13.84572,9.97503,11.12436
45.57833,206.0868,159.435,183.274,119.1794,85.87178,144.1923,170.7415,66.39949,34.24552,104.3358,121.6242,106.0052,14.06978,10.02601,11.11422
43.10189,205.1119,160.4025,182.0545,119.212,86.50134,143.8693,170.0023,65.89795,34.22561,105.4542,122.0522,107.4127,14.11623,10.01309,11.16317
40.76712,206.1086,160.4759,180.6143,119.8603,86.68983,143.5271,170.0042,65.82619,33.7813,104.7297,122.3965,109.2891,14.29116,9.990376,11.23556
38.95649,206.0677,160.2137,179.854,123.0536,86.17366,142.8681,170.5689,65.84196,33.37706,105.1298,122.4224,111.3689,14.3886,10.02568,11.2683
37.80798,203.9684,160.814,180.354,124.7645,86.43768,142.424,171.9023,65.24131,33.08455,105.834,122.8153,112.0435,14.416,10.08679,11.28916
37.26548,202.1308,162.2875,182.0224,126.2071,86.49854,142.1682,173.435,65.3115,32.83271,106.809,123.6465,111.7439,14.38043,10.13936,11.34925
37.59381,200.7637,165.2777,182.4674,128.0458,85.62917,142.89,174.1563,65.45739,33.0085,108.0879,124.6244,110.1768,14.41503,10.06812,11.4294
39.90442,201.1606,165.0629,182.1398,130.4445,84.70176,143.5059,174.8434,65.98984,33.24762,108.0758,124.8369,110.6861,14.44355,10.06771,11.4871
44.00785,201.6467,163.8882,182.2308,132.447,84.08748,143.9989,173.8174,66.89957,33.68595,107.8855,125.6113,112.3915,14.51197,10.07521,11.54115
51.03899,200.6723,163.3436,181.9214,132.9704,83.81416,142.5952,172.4978,66.92309,33.83398,107.9904,126.7233,113.5973,14.71128,10.08399,11.63813
63.64164,200.9843,163.0493,181.1549,131.3207,84.25,141.6865,171.151,67.65244,33.87948,107.4946,127.643,113.4932,14.80349,10.0438,11.73172
82.62727,202.4534,161.1306,181.5957,127.9205,85.0927,140.788,170.6917,67.77457,33.37392,107.2628,129.1897,114.7552,14.98251,10.04297,11.72968
108.9583,203.0626,158.5151,182.6247,125.9652,87.23927,139.7992,170.3822,67.58948,33.21528,108.1506,130.4374,115.0497,15.09569,10.03249,11.75632
142.7193,203.7055,157.3387,181.9885,123.604,90.35791,139.6935,170.8332,67.15123,33.25138,109.2081,131.203,114.2606,15.07497,10.06091,11.73782
183.5832,204.7052,158.3228,180.6455,121.1084,92.79935,140.0851,172.6489,66.15079,33.11061,110.5945,131.6378,114.1478,15.06196,10.10085,11.74896
229.0388,206.6603,158.9815,178.9591,120.0944,94.72626,141.1902,174.1101,65.99664,32.7684,110.9908,131.5502,113.9902,15.16345,10.10414,11.78745
274.9603,206.8556,159.8409,177.7484,121.0712,95.69196,143.2368,175.7257,66.53742,32.92022,111.6878,131.194,115.587,15.43039,10.13203,11.78105
317.1967,206.8459,161.3725,176.8002,121.2257,95.92781,144.9977,176.6329,66.50062,33.51407,112.4232,131.6127,117.0674,15.66123,10.05713,11.8541
353.5306,206.6478,163.9394,176.2825,123.2444,95.33717,145.6015,178.3482,67.27097,33.3695,112.551,131.9076,115.1507,16.01235,10.05198,12.03201
379.2603,206.0187,164.5136,177.0385,123.8966,93.34743,146.3249,178.8557,68.82759,33.13578,113.6995,132.7079,115.9319,16.34525,9.972977,12.12636
390.6021,204.5074,162.5642,179.0125,123.4642,91.60701,146.4976,179.1661,70.01794,32.95156,114.8614,133.3555,118.0548,16.69397,9.867637,12.25747
387.8313,203.0487,161.6144,180.5668,124.5834,90.6388,146.4143,178.7686,70.97575,33.32393,116.1614,134.0022,120.331,16.93556,9.810246,12.38571
372.8571,202.8494,162.543,181.2604,124.5957,89.67674,146.7436,179.4975,70.47994,34.03443,117.4673,135.314,120.7775,17.00635,9.851303,12.53298
346.998,203.6255,163.644,182.6082,124.4572,88.97521,146.3386,179.9004,69.52628,33.75051,117.9441,137.8323,120.7505,17.03941,9.906326,12.73733
312.3496,206.0634,164.9464,185.0563,125.7905,89.33405,146.6714,181.1042,69.28979,33.59862,120.2116,138.436,119.6215,17.11402,9.919089,12.9351
271.3369,206.298,165.7836,185.8566,126.12,90.23634,148.31,181.6066,69.36745,33.84615,121.9658,139.4882,119.2015,17.16107,9.887097,13.12552
229.6515,207.0251,165.8134,186.3284,127.7915,90.38229,148.8637,182.577,68.93302,33.60141,121.0205,140.0755,117.2199,17.22955,9.875648,13.29168
189.7454,208.2732,165.9782,185.7248,127.4455,89.0579,149.9027,183.151,69.24203,33.55219,121.4642,140.9317,118.2103,17.56911,9.946176,13.27506
153.7904,210.4564,166.074,185.9095,126.6089,89.16649,150.7625,183.2905,69.28204,33.84091,122.4977,141.2133,121.5568,17.60572,9.870143,13.22392
123.7506,212.2886,165.7195,185.0276,125.7447,89.5239,150.9901,184.2623,69.63943,34.08216,123.5258,141.5584,126.9331,17.64419,9.848289,13.11302
101.3605,212.4988,166.2682,184.8291,124.8078,90.5557,151.4659,185.488,69.45013,35.05658,123.9653,142.6979,130.0334,17.67037,9.876931,13.20479
85.16495,213.3217,166.5262,184.4624,124.835,91.8059,151.0377,186.4834,69.16414,35.84776,125.0882,145.5649,130.4537,17.91236,9.899528,13.27452
73.88033,213.7743,168.3184,184.6778,126.775,92.67915,151.4906,186.3893,70.66063,35.9845,127.3286,147.8939,131.2076,18.16579,9.899793,13.4304
65.59472,213.9767,170.4715,185.9695,129.1048,94.03247,152.7916,186.9672,73.0918,35.68251,129.2745,149.7255,130.5898,18.34228,9.896431,13.64003
59.43546,211.963,170.796,187.6064,131.0644,94.89315,154.4918,186.9117,74.07905,35.29193,129.5947,151.1662,128.7395,18.53948,10.00563,13.97772
55.77677,209.3864,169.8166,189.0804,132.6166,94.469,156.4419,186.6933,73.02296,35.00097,130.991,153.0625,128.7269,18.96821,10.11946,14.11351
52.59613,208.2904,171.4309,189.7925,133.4401,93.79417,159.0006,186.622,72.33126,34.61215,132.6639,154.4294,130.2514,19.33922,10.1452,14.22149
50.01539,209.6163,172.5907,189.3023,134.0101,93.16513,161.3269,188.0447,70.38357,34.46188,133.5323,154.7442,132.8142,19.55087,10.17114,14.39523
47.39452,210.5153,172.6848,187.6817,133.4149,93.55188,163.4418,190.3152,69.29892,34.76743,133.7175,154.9401,135.7107,19.78432,10.17683,14.44778
44.76639,210.8734,172.912,188.2475,133.5467,94.19692,165.4078,191.918,69.06081,35.36932,134.8643,155.5953,137.1037,19.97167,10.09246,14.61
42.89679,211.474,173.0009,187.7793,133.7257,94.30594,166.1701,193.3108,70.23602,35.94228,135.9046,157.3408,138.4725,20.27449,10.04111,14.69892
41.90736,214.6029,176.3745,187.7525,135.6832,95.04342,167.8832,195.0345,73.27868,35.84034,136.4643,159.3006,140.7543,20.5606,10.00255,14.87294
41.59301,215.3192,176.6072,188.576,138.3883,96.99948,169.1406,196.9615,74.9782,35.61785,138.2879,161.2831,141.4323,20.66797,10.07192,15.16523
42.611,216.1747,176.9077,190.1166,141.5086,98.38565,170.864,198.1806,75.69084,35.90763,141.4363,163.0331,144.8763,20.76932,10.10864,15.36146
44.82367,217.444,177.3482,191.3823,143.8838,99.33138,172.2367,199.4348,77.09044,36.27742,144.0844,165.292,148.4475,21.12173,10.11971,15.32855
49.06839,219.7314,179.2101,193.4875,146.1407,100.3456,174.1099,201.7347,77.1078,36.7549,144.3066,166.5605,151.6369,21.38675,10.18389,15.43768
58.38507,221.1371,179.0353,194.3958,147.0723,102.1608,175.2662,204.5047,77.59405,36.96397,145.9453,166.7169,152.8279,21.53469,10.25072,15.55411
73.28901,220.1224,179.2956,197.0387,148.752,103.6799,176.3588,204.9286,78.50288,37.15659,148.1198,167.7078,151.5996,21.78524,10.27932,15.73845
97.30211,220.6971,179.1621,199.5906,146.6513,103.8015,177.1428,204.74,78.94443,37.4926,149.933,169.9042,149.4372,22.08232,10.42088,15.90445
131.0965,220.5413,180.5958,201.7149,145.3166,104.8542,177.1273,205.9206,79.15645,37.29448,151.6128,172.9704,148.6871,22.50376,10.54598,16.14891
173.6166,222.3111,181.7106,204.3945,144.4,106.142,178.2836,207.0208,80.12727,37.13887,153.5222,175.8439,149.1999,22.95744,10.63102,16.30427
224.0954,221.771,181.044,204.4695,145.0266,106.4353,179.4469,207.9288,79.37312,37.64077,155.9373,178.32,152.1654,23.39185,10.71697,16.48167
275.9406,222.9195,180.0252,203.5556,146.8966,106.5704,181.0753,207.7047,78.84915,38.04725,157.9109,180.3508,154.888,23.82901,10.76225,16.57496
325.2091,226.015,179.4631,203.4682,148.517,107.8919,183.374,209.1113,78.59791,38.75381,158.9935,182.1274,158.2438,24.34615,10.81231,16.75528
366.8712,229.3997,180.6521,202.6737,151.0984,108.256,186.3964,212.0573,78.2872,39.10777,160.5027,183.7021,160.4288,24.51157,10.81159,16.98613
395.8657,230.234,179.6258,203.8107,153.9363,108.9935,188.6222,215.1362,79.38896,39.25663,163.7597,185.6001,161.0673,24.48433,10.76083,17.15569
411.8933,231.4065,182.834,205.146,157.0397,108.6869,192.3237,215.8332,80.16901,39.19395,166.0858,187.4529,162.7508,24.61345,10.78336,17.40785
413.2066,232.717,186.199,207.0048,157.646,108.7756,193.8342,217.2967,81.18956,39.30565,169.8311,189.7453,166.5692,24.77791,10.79407,17.70796
400.4644,233.4171,190.2428,209.4198,158.9999,108.9535,195.4745,220.1238,83.98071,39.73851,172.1116,191.7565,171.3741,25.02228,10.80222,17.93279
376.1406,235.3017,192.8847,210.8713,160.3149,108.0427,197.063,222.2965,86.2229,40.45372,173.9628,193.4505,173.9632,25.23649,10.85147,18.07998
341.604,236.9923,193.8256,211.0822,161.5725,108.1419,197.0169,223.8559,86.75071,41.05717,176.3979,195.9688,176.4841,25.59529,10.92922,18.26047
299.8766,238.6384,194.9243,210.7493,162.8617,109.0487,198.0183,225.1747,86.12019,41.58257,177.8453,198.506,176.7871,25.98535,11.02157,18.47442
255.1382,241.599,196.0035,211.5801,164.2669,108.9686,199.8891,228.1661,85.74007,42.04531,180.8505,200.6377,176.0467,26.25356,11.12247,18.62594
210.7639,243.7506,197.5641,214.1506,166.2226,110.1537,201.3017,231.8631,85.81193,42.02247,181.7291,203.3764,175.435,26.47989,11.11858,18.7375
170.9778,247.0031,198.7157,216.4984,168.7897,112.9354,202.8585,233.7697,85.40928,41.62134,182.8853,204.7555,175.7311,26.6128,11.17762,18.93515
139.2834,250.8303,200.5196,219.5425,169.3776,115.6201,205.3175,234.1918,85.5821,41.75214,182.7475,206.3573,178.5806,26.90876,11.27535,19.27891
114.3724,252.368,202.0358,221.9898,170.5447,118.4588,206.413,234.3763,86.27314,41.91714,181.7354,208.0155,182.0656,27.30844,11.4146,19.56428
98.14016,254.3177,203.4043,222.413,172.4002,121.1663,208.9656,234.6983,86.83322,42.2146,181.3656,209.1323,184.1512,27.45264,11.55838,19.78
87.19786,257.7767,204.1969,223.6625,175.0818,123.0616,209.9463,235.5911,87.94783,43.10021,182.1523,211.2268,185.504,27.53557,11.62992,20.08207
80.07432,259.5261,205.0233,226.8635,177.7792,125.002,211.0889,237.032,87.40502,43.51097,184.7765,213.6427,187.3709,27.79268,11.7317,20.28661
77.29515,258.3317,206.5033,228.4276,180.6245,125.3335,213.0673,239.2001,87.17088,43.81111,188.7511,215.6362,187.4543,28.16809,11.77773,20.55415
79.2779,256.872,207.7695,231.5651,182.9944,126.2122,215.6445,242.0007,87.47779,43.9473,191.5751,218.2687,188.9824,28.5775,11.78982,20.82449
85.41399,256.7328,209.2509,232.8979,184.2089,126.4383,216.6738,244.0206,88.23502,44.15553,195.9971,221.1728,191.7123,28.99516,11.77944,21.08831
100.7976,257.0921,210.1629,233.2991,182.9643,126.4222,218.5493,244.9915,89.58168,44.43718,198.7823,224.7185,195.4383,29.4019,11.75924,21.33129
126.7847,258.3498,211.8323,233.8986,181.6402,126.6956,220.6069,246.754,90.86024,44.69558,200.772,228.4608,198.0606,29.8841,11.77009,21.42595
163.2674,260.2373,212.7546,233.1137,182.2666,128.3487,222.0311,247.8253,90.81966,44.99,204.365,231.3245,200.5885,30.23463,11.78762,21.40067
208.4982,262.0207,212.3746,232.1315,183.2631,129.3222,223.7859,247.752,91.85457,45.30879,206.7574,233.9209,203.5045,30.33935,11.89775,21.4878
261.4557,264.884,211.2313,233.6217,185.1953,129.0288,224.2975,248.7552,92.81934,45.17492,209.3951,235.4139,206.5749,30.53244,12.0642,21.66785
316.0227,266.1398,212.3702,235.3461,188.296,129.6207,224.612,249.1248,93.394,45.08086,212.529,237.905,208.4488,30.79442,12.22032,21.86359
365.4988,265.7432,213.2987,236.0899,190.7658,130.2048,225.8517,249.8926,93.46897,44.98048,214.408,239.1251,209.5809,30.91969,12.41518,22.1509
403.3829,267.4119,214.8391,237.0948,192.0379,131.0225,227.0104,250.7611,94.74016,45.30024,217.2087,240.7466,211.3314,31.22453,12.66805,22.42682
427.863,267.2247,217.6694,237.4984,193.0455,131.826,228.074,251.0779,96.17627,45.89739,219.9184,242.5467,213.5474,31.26327,12.76934,22.75341
438.4124,266.5406,220.4928,239.6667,193.8346,133.512,230.0574,252.1529,96.90184,46.45935,222.3103,244.9321,216.5127,31.56887,12.88548,23.03098
432.5028,266.7599,222.1964,241.6634,194.9547,136.1891,232.2006,253.9141,97.02798,47.04391,225.4289,247.7959,217.7625,31.76599,13.06357,23.27705
412.9491,267.097,221.4296,244.3821,196.6026,139.3439,233.9969,256.0785,96.22984,47.15813,228.182,249.8372,221.8831,32.14417,13.26988,23.57826
382.327,268.2337,220.6592,246.0424,198.072,141.4455,234.6937,257.6695,95.89371,47.03072,229.9333,251.5093,225.5733,32.59762,13.50702,23.92406
343.4257,269.7179,220.8149,247.5739,198.9709,142.7445,235.8751,259.1038,94.80912,47.19972,231.9424,253.5702,227.2791,33.05957,13.60936,24.24342
298.5377,270.7838,222.1837,249.5243,198.6236,143.4846,237.5455,259.5321,94.4121,47.3845,233.1016,256.9556,228.283,33.46458,13.6265,24.44174
251.6842,270.3252,223.7334,251.343,197.0387,143.6572,238.8762,261.5001,94.80546,47.24584,236.2985,259.1558,226.7536,33.74771,13.66769,24.66277
209.6089,271.3986,224.1866,253.0831,196.2106,145.1956,240.1371,262.8732,96.67639,47.91395,237.7239,261.1522,227.0785,34.07354,13.64449,24.77868
175.388,272.4846,227.9539,254.5176,198.6143,146.0152,242.2975,263.7463,97.7802,48.15453,239.5671,262.0286,229.9431,34.13144,13.59735,24.96036
