A1: Ladder,B1: PowerSoil-HT-Organic-1,C1: PowerSoil-HT-Organic-2,D1: PowerSoil-HT-Organic-3,E1: PowerSoil-HT-Sand-Clay-1,F1: PowerSoil-HT-Sand-Clay-2,G1: PowerSoil-HT-Sand-Clay-3,H1: PowerSoil-HT-Sand-1,A2: PowerSoil-HT-Sand-2,B2: PowerSoil-HT-Sand-3,C2: PowerSoil-HT-Clay-1,D2: PowerSoil-HT-Clay-2,E2: PowerSoil-HT-Clay-3,F2: PowerSoil-HT-Beach-Sand-1,G2: PowerSoil-HT-Beach-Sand-2,H2: PowerSoil-HT-Beach-Sand-3
13.13796,4.00455,1.36423,1.608205,3.513278,2.359474,0.718618,1.222194,1.991651,2.268833,3.532805,2.513822,1.735175,1.309287,1.336756,0.435997
13.32671,4.319984,1.45993,1.707495,3.53775,2.42303,0.700964,1.220756,2.232734,2.261638,3.711826,2.977965,1.741269,1.285503,1.389101,0.4178299
13.6152,4.343842,1.629823,1.868758,3.805139,2.537292,0.5370854,1.21316,2.410928,2.224105,3.991731,3.254579,1.704626,1.360176,1.464774,0.3338776
13.7077,4.267486,1.684416,1.959469,3.872544,2.343267,0.4819701,1.117195,2.490375,2.257008,4.185487,3.718889,1.762269,1.460761,1.548578,0.301433
13.80061,4.170923,1.691392,1.883393,3.705658,2.226414,0.5524101,0.9656053,2.467433,2.283505,4.514452,3.822502,1.827134,1.648911,1.595804,0.3082968
13.50305,4.103241,1.680862,1.708604,3.521671,2.222339,0.5965725,0.9685063,2.526632,2.28467,4.870054,4.233511,1.882521,1.763315,1.595535,0.3442853
13.26857,4.152454,1.630831,1.612704,3.502642,2.247924,0.6826308,1.025498,2.503281,2.289514,4.714649,4.189172,1.954701,1.90892,1.592314,0.4529999
13.28909,4.238125,1.615334,1.511861,3.358624,2.350065,0.9121677,1.009279,2.528403,2.320578,4.419132,4.149765,1.988219,1.833545,1.615849,0.5860616
13.32145,4.378264,1.78906,1.332903,3.389797,2.525892,0.8977419,1.070298,2.547791,2.262404,4.173384,4.130471,1.990202,1.818639,1.612812,0.6455382
13.04072,4.513069,1.976534,1.290004,3.666621,2.61456,0.8713636,1.211728,2.518874,2.282177,4.051641,3.880048,1.941367,1.790499,1.676616,0.6561913
