A1: Ladder,B1: PowerSoil-LT-Organic-1,C1: PowerSoil-LT-Organic-2,D1: PowerSoil-LT-Organic-3,E1: PowerSoil-LT-Sand-Clay-1,F1: PowerSoil-LT-Sand-Clay-2,G1: PowerSoil-LT-Sand-Clay-3,H1: PowerSoil-LT-Sand-1,A2: PowerSoil-LT-Sand-2,B2: PowerSoil-LT-Sand-3,C2: PowerSoil-LT-Clay-1,D2: PowerSoil-LT-Clay-2,E2: PowerSoil-LT-Clay-3,F2: PowerSoil-LT-Beach-Sand-1,G2: PowerSoil-LT-Beach-Sand-2,H2: PowerSoil-LT-Beach-Sand-3
10.09612,4.07522,3.4612,2.148839,1.038896,0.9719523,0.917811,0.7049814,0.7660288,0.700896,2.140668,2.026893,1.295265,0.806119,0.9181795,0.7898654
10.79583,4.127471,3.788363,2.089085,1.210587,1.186442,1.036769,0.8541578,0.9367384,0.8069677,1.932384,2.508703,1.169269,0.8875178,0.9672308,0.8270736
11.04292,4.119542,4.234915,2.103391,1.294219,1.298201,1.115704,0.9445135,1.328915,0.9627859,2.264636,2.566859,1.479391,0.999827,0.9633662,0.873673
11.16572,4.460599,4.529239,2.32294,1.422806,1.588758,1.294471,1.014323,1.707549,1.175385,2.500687,2.509407,1.805041,1.155121,1.026002,0.9244771
11.15848,5.184609,4.64971,2.550959,1.562253,1.915134,1.608143,1.042998,1.949295,1.351543,2.489624,2.302947,2.196086,1.234853,1.048424,0.985702
11.82072,5.965094,4.404917,2.989885,1.550687,1.86827,1.736654,1.046362,1.977607,1.509814,2.569228,2.118885,2.488918,1.317432,1.089173,0.9817373
12.48485,6.886344,4.282243,3.193882,1.673332,1.710861,1.876716,1.095894,2.065364,1.583084,2.759691,2.15339,2.673434,1.325043,1.129014,0.9204077
13.27852,7.119163,4.539462,3.400095,1.995627,1.586108,2.027314,1.154815,2.088491,1.597566,3.329651,2.222571,2.677063,1.34811,1.21209,0.8422939
14.05653,7.114587,4.533237,3.51948,2.344303,1.624311,2.260091,1.205397,2.056365,1.550151,3.547184,2.693784,2.724353,1.363847,1.272648,0.7825378
14.50681,7.208262,4.850055,3.526968,2.569825,1.635988,2.10061,1.341085,2.033349,1.66791,3.609252,3.13177,2.898139,1.433817,1.255449,0.7896549
14.38621,6.755569,5.464279,3.18592,2.656415,1.750395,1.942295,1.404267,2.170938,1.826875,4.181963,3.460778,3.179968,1.545811,1.246514,0.7972699
14.42549,6.757416,5.822721,3.173541,2.762784,2.113041,1.927206,1.466726,2.314303,1.966938,4.708056,3.645067,3.373245,1.587275,1.318361,0.8332178
14.26542,7.525032,6.26878,3.340801,2.759972,2.460582,2.13687,1.5634,2.416291,2.085476,4.843532,3.481939,3.575424,1.581828,1.386501,0.9693421
14.32949,7.907461,6.377346,3.809562,2.680659,2.595135,2.265173,1.6318,2.434669,2.183062,4.770581,3.430052,3.858024,1.569653,1.394882,1.057439
14.28428,8.271605,6.266387,4.241255,2.594386,2.535192,2.442885,1.768535,2.635346,2.310883,4.899049,3.75912,3.904211,1.538079,1.443957,1.068844
14.2015,8.657663,6.125212,4.585002,2.711897,2.421067,2.738283,1.778219,2.810811,2.343918,5.024856,4.170668,3.859454,1.579354,1.495753,1.117896
14.01899,8.695299,6.16063,4.66477,2.827253,2.355917,2.866791,1.752494,2.8864,2.170601,4.999496,4.493782,4.059392,1.615887,1.560508,1.149862
13.78236,8.639593,6.261654,4.757146,2.8669,2.291239,2.700909,1.766658,2.839767,2.070995,4.958178,4.790864,4.048302,1.717953,1.612884,1.224249
13.56454,8.337877,6.64862,4.356875,2.844465,2.261082,2.60495,1.746215,2.888077,2.053694,5.200233,4.515835,3.810128,1.82494,1.587309,1.224584
13.48083,8.251401,6.964404,4.040318,2.851215,2.228336,2.547389,1.808453,2.76031,2.096822,5.696712,4.185286,3.898512,1.846215,1.567796,1.215703
13.26862,8.438116,7.199624,3.873372,2.872727,2.296644,2.454852,1.877393,2.753085,2.126285,5.759037,3.827117,4.100016,1.831606,1.557434,1.254223
