seq_id,kit,soil_type,comparison,bray,compared_kit,compared_soil,bray_rank
PowerSoil-Pro-HT-3-2,PowerSoil Pro HT,Sand,PowerSoil-Pro-HT-3-3,0.13379259663597462,PowerSoil Pro HT,Sand,54
PowerSoil-LT-1-1,PowerSoil LT,Organic,PowerSoil-LT-1-3,0.1359967946042045,PowerSoil LT,Organic,55
PowerSoil-LT-1-1,PowerSoil LT,Organic,PowerSoil-LT-1-2,0.13827397480302592,PowerSoil LT,Organic,56
PowerSoil-LT-5-1,PowerSoil LT,Beach Sand,PowerSoil-LT-5-2,0.14196547999130643,PowerSoil LT,Beach Sand,57
PowerSoil-Pro-HT-1-1,PowerSoil Pro HT,Organic,PowerSoil-Pro-HT-1-2,0.1490670283065031,PowerSoil Pro HT,Organic,58
PowerSoil-Pro-HT-1-2,PowerSoil Pro HT,Organic,PowerSoil-Pro-HT-1-3,0.1514511046191099,PowerSoil Pro HT,Organic,59
FastSpin-HT-1-1,FastSpin HT,Organic,FastSpin-HT-1-3,0.16467448461816014,FastSpin HT,Organic,60
PowerSoil-Pro-HT-1-1,PowerSoil Pro HT,Organic,PowerSoil-Pro-HT-1-3,0.16625707841530382,PowerSoil Pro HT,Organic,61
FastSpin-HT-1-2,FastSpin HT,Organic,FastSpin-HT-1-3,0.17916014156410753,FastSpin HT,Organic,62
FastSpin-HT-1-1,FastSpin HT,Organic,FastSpin-HT-1-2,0.1865857550522763,FastSpin HT,Organic,63
