seq_id,FastSpin-LT-1-1,FastSpin-LT-2-1,FastSpin-LT-2-2,FastSpin-LT-2-3,FastSpin-LT-3-1,FastSpin-LT-3-2,FastSpin-LT-3-3,FastSpin-LT-4-2,FastSpin-LT-4-3,FastSpin-LT-5-1,FastSpin-LT-5-2,FastSpin-LT-5-3,PowerSoil-LT-1-1,PowerSoil-LT-1-2,PowerSoil-LT-1-3,PowerSoil-LT-2-1,PowerSoil-LT-2-2,PowerSoil-LT-2-3,PowerSoil-LT-3-1,PowerSoil-LT-3-2,PowerSoil-LT-3-3,PowerSoil-LT-4-1,PowerSoil-LT-4-2,PowerSoil-LT-4-3,PowerSoil-LT-5-1,PowerSoil-LT-5-2,PowerSoil-LT-5-3,ZymoMagbead-HT-1-2,ZymoMagbead-HT-2-1,ZymoMagbead-HT-2-2,ZymoMagbead-HT-2-3,ZymoMagbead-HT-3-1,ZymoMagbead-HT-3-2,ZymoMagbead-HT-3-3,ZymoMagbead-HT-4-1,ZymoMagbead-HT-4-2,ZymoMagbead-HT-4-3,ZymoMagbead-HT-5-1,ZymoMagbead-HT-5-2,ZymoMagbead-HT-5-3,PowerSoil-Pro-HT-1-1,PowerSoil-Pro-HT-1-2,PowerSoil-Pro-HT-1-3,PowerSoil-Pro-HT-2-1,PowerSoil-Pro-HT-2-2,PowerSoil-Pro-HT-2-3,PowerSoil-Pro-HT-3-2,PowerSoil-Pro-HT-3-3,PowerSoil-Pro-HT-4-1,PowerSoil-Pro-HT-4-2,PowerSoil-Pro-HT-4-3,PowerSoil-Pro-HT-5-1,PowerSoil-Pro-HT-5-2,PowerSoil-Pro-HT-5-3,FastSpin-HT-1-1,FastSpin-HT-1-2,FastSpin-HT-1-3,FastSpin-HT-2-1,FastSpin-HT-2-2,FastSpin-HT-2-3,FastSpin-HT-3-1,FastSpin-HT-3-2,FastSpin-HT-4-1,FastSpin-HT-4-2,FastSpin-HT-4-3,FastSpin-HT-5-1,FastSpin-HT-5-2,FastSpin-HT-5-3
PowerSoil-LT-3-1,0.5262886116364048,0.23275351673537906,0.23674603571409483,0.22372481191004653,0.12667976490714636,0.11167246930102102,0.12151245261302561,0.8713394433116439,0.8632355561099038,0.9856843184464574,0.9787210758834489,0.9848391141144279,0.46638457208846107,0.46614462054672395,0.4700247920565529,0.19753943340620353,0.1908895129775142,0.2005328500407632,0,0.10744723101236434,0.09142609788951553,0.8604554678875467,0.8536234913999909,0.8655554473193671,0.9897983225915046,0.9858159915146012,0.9915866635289883,0.5043740131128498,0.25683635927761006,0.23726215312332466,0.25096236050797394,0.1397380928497551,0.14495397726051157,0.11898648769208722,0.8690917462398038,0.8735374328670487,0.8583946210103264,0.9809637658575896,0.9788533938881123,0.9856296698520195,0.5187493587267865,0.5139770491890236,0.49225856956709496,0.24982777724084845,0.2485744335345609,0.24585648410918906,0.1313957130579422,0.18491980704712416,0.8601073681841783,0.8475960019570379,0.8610246508768682,0.9891672642932332,0.9856630246248724,0.9820045675739059,0.5115872990645891,0.5084669678343409,0.4951737174818407,0.25363223827504877,0.2707217958779454,0.260653354140476,0.14827515321821674,0.14698492498950144,0.855429085268269,0.8668771727171555,0.8821914251557419,0.979597557801689,0.9753588839952936,0.982897394794783
PowerSoil-LT-3-2,0.5493659484621893,0.2571233144138015,0.259445611712709,0.24785205492261395,0.1441508094542947,0.12513520760240532,0.13019775511660484,0.8764848332684604,0.8690972067798427,0.987020960014176,0.9797552736076836,0.985689236650591,0.4881816211342739,0.4871226594733274,0.48802394682838,0.21740041177729277,0.20711333623436823,0.22063674008111267,0.10744723101236434,0,0.0956189187432864,0.8670925297366614,0.8621937303032736,0.8752220125624244,0.989216631365722,0.9872714115368278,0.9915703148330862,0.5138093517307174,0.2517058560773074,0.223774738413133,0.2504492486152031,0.12092397851104715,0.12664835486703782,0.10437686022278173,0.8757205526727612,0.8812002902683957,0.865922638579444,0.9821471024049041,0.9798310770364784,0.9863536280289246,0.5440322595429582,0.5393221766100205,0.5218343879055258,0.27519891902024074,0.27843715103040695,0.27188229349090115,0.16142428889528493,0.21176703557164087,0.867806460482806,0.8558427916123084,0.8685063971812411,0.9885799530619883,0.9876199634824289,0.9790784297035433,0.5350478877815593,0.5412646330498084,0.5225759123596555,0.2853538059736087,0.2957157330832084,0.2903371612294866,0.1815397601294336,0.17925111977353722,0.8623017085213961,0.8735554637956625,0.891842874066988,0.9811333347520323,0.9773651190566226,0.9874186981377835
PowerSoil-LT-3-3,0.5171851117270413,0.24320700526885838,0.2416668455072239,0.22767654473455715,0.13577563630836062,0.11149133862865926,0.12371665726558125,0.8621458712849484,0.855473000905434,0.9861918746555878,0.9758930271424056,0.9820461986017855,0.46027349971390535,0.46118096235764816,0.4598550575060207,0.2000410245076987,0.18862589135280558,0.20017706935894075,0.09142609788951553,0.0956189187432864,0,0.852050443869175,0.8463387222079529,0.8601901669818369,0.9900410552156571,0.983084800756451,0.9916840052785074,0.4910320936660446,0.2456529882711235,0.23092120351915912,0.24533602824372458,0.11792046924167525,0.13459033191384448,0.11098072662683839,0.8595619737949036,0.8652494096810608,0.8504405599210325,0.9832647982970613,0.9771129538642924,0.9846935073943706,0.5143506226919855,0.5115791749111714,0.49084058612315473,0.2636837433422294,0.2614521655204536,0.25164133090505064,0.14710225343227165,0.19418920638593856,0.8529514462320129,0.8400471143082332,0.8536729691968991,0.987731482953601,0.9814262299239703,0.980156092815268,0.5138521403106574,0.5103942779500668,0.49249708535170256,0.27059651485723135,0.28111265260805346,0.2767890905319638,0.17272014268593977,0.16821094025621947,0.8471862204830588,0.8568244622640575,0.8714808595905271,0.9777886832945989,0.9749011019522354,0.979479079007621
PowerSoil-LT-4-1,0.6870420041958705,0.8560579739793788,0.8627774573305326,0.861989348746493,0.8595464109942095,0.8602641116612834,0.8535961987740991,0.09608855940752387,0.10293876916561265,0.9675675477660515,0.9550439779498067,0.9575736056948193,0.7206186462965108,0.7098309928252917,0.7116546626883031,0.8685808144701188,0.8630730898965953,0.8678441676975407,0.8604554678875467,0.8670925297366614,0.852050443869175,0,0.0735660178858578,0.09165600632494023,0.9766675286385746,0.9466094697745613,0.9782562353472369,0.7466052481001375,0.8660878656926879,0.8827199428653715,0.8760601895177503,0.8670937038975511,0.8681591266485238,0.8711788236226484,0.11526878655710766,0.10815909024057044,0.1010385814726129,0.965100465364276,0.9536070726708219,0.9693619831849098,0.7255858517476316,0.7173119623111031,0.7172656579024718,0.8675794773119299,0.8492791742306328,0.8584195499586046,0.8475769941327566,0.7349707214871523,0.11282198925652831,0.11679359665157048,0.12308433810861127,0.9647519451680635,0.9569300393950658,0.9575693888694401,0.7334418489166867,0.7515686381650959,0.7182796917742617,0.8597459812990292,0.8640710389629654,0.8645154317603191,0.8561986352278601,0.8542994582429185,0.13022547035799026,0.10829877174401294,0.14213081783965814,0.9556596621530707,0.9572695561801439,0.9628071038917916
PowerSoil-LT-4-2,0.6860310104628022,0.8547840165698796,0.859823357188964,0.8588597425830395,0.849846880322927,0.8557816550859583,0.8460743985823386,0.09615391177523429,0.0992594349801332,0.9678779560630826,0.9526088779061922,0.9573738108563509,0.7187808295611243,0.7088028818287097,0.7120102885191976,0.8671301680177672,0.8608992043760768,0.8645552597593922,0.8536234913999909,0.8621937303032736,0.8463387222079529,0.0735660178858578,0,0.09017280611533808,0.975802068669056,0.9434913300804535,0.975372269280849,0.7483931501548055,0.8629966860116558,0.8806470866605799,0.8712149661858174,0.861865321861891,0.861821717848872,0.8658145734607572,0.11511155879241182,0.11332830079204856,0.10692604498072403,0.9629519367293141,0.9527858474806532,0.9685355641491914,0.724478368465645,0.7155614378361175,0.7182231014402501,0.8668826869196692,0.8490586592278158,0.8557784361803695,0.8429642140078064,0.7284652394189507,0.11304550967674148,0.11768468488096553,0.12148049245806486,0.9608183197134131,0.9580159938768185,0.9564744170751308,0.7300518297967296,0.7528000826709531,0.7184949654093814,0.8573506526994971,0.8596562163883393,0.8600879113478491,0.847801431889151,0.8474710641585195,0.1296386577989945,0.10305573009195201,0.1344951231043707,0.9550900087182517,0.9550353605371671,0.9598792676407615
PowerSoil-LT-4-3,0.6969631599700522,0.8639208182794305,0.8711415521286168,0.870313641333215,0.8623935415360574,0.8658121918309886,0.8574891718429039,0.10330792286673315,0.11075546544095832,0.9683436172908391,0.9530624262547558,0.9573176258787568,0.7322037862962882,0.7189599247539743,0.7267968439511486,0.8764045526029294,0.8706637656763039,0.8758544326816896,0.8655554473193671,0.8752220125624244,0.8601901669818369,0.09165600632494023,0.09017280611533808,0,0.9759942744625476,0.9462194277162785,0.9760855008891931,0.7589384374111612,0.8748120402270869,0.8914998004898167,0.8831352320812604,0.8741166156347008,0.8726930312022466,0.8769672698180764,0.11940760641618245,0.11893113371913146,0.10934060306779676,0.9651005577772622,0.9541511775397107,0.9678934502410157,0.7378263481929312,0.726977912141504,0.725427671965563,0.8776497589491955,0.8577920406054815,0.8666728975348593,0.8542501070869121,0.740123099115612,0.12153251071152857,0.12121961338866125,0.12730718394548876,0.964152479986521,0.9573702151221288,0.9589831645503685,0.7395624601147422,0.7614770077527695,0.7290241552305234,0.8663527354494965,0.8727054440153991,0.8704006201393805,0.8600676113133623,0.8585220315993805,0.13652311423048596,0.11094942818595335,0.14042187385579216,0.954282197555784,0.9554123086253802,0.9622721050338159
PowerSoil-LT-5-1,0.9804042265848701,0.9870550341533981,0.987096377012493,0.9871443573200703,0.988841804697787,0.9877846834029461,0.9885976796718917,0.9794742361994859,0.9757173521473933,0.1363615092247675,0.12198123712946529,0.13161765973943176,0.9832184513346285,0.982741315995047,0.9838601708627989,0.9894245257466117,0.9877751586630922,0.9879450118600621,0.9897983225915046,0.989216631365722,0.9900410552156571,0.9766675286385746,0.975802068669056,0.9759942744625476,0,0.14196547999130643,0.1152875095326409,0.9865850080469932,0.9853879213101515,0.9905703831096743,0.9912705937313726,0.9898576854642269,0.9896704928352528,0.9895503605607605,0.9823976966950592,0.9809704147648688,0.9763595400190128,0.21083707703273824,0.18463962762462693,0.1797700904500582,0.9857848493406971,0.9805688113958617,0.9852941897887763,0.9918425008296294,0.9878350134201141,0.9878482621689236,0.9862985608804358,0.9864201472175029,0.9791254566828154,0.9804523659837565,0.9773782560883015,0.18512522568862005,0.21031936255813674,0.19503492623810767,0.9832444306519703,0.9863767140116981,0.9821261853147327,0.9885377636857149,0.9893300962045133,0.9892282028504643,0.9882784980303667,0.9862985235839732,0.98222793711535,0.9802747485401394,0.9785157899333904,0.16160194711559495,0.15833201197338354,0.1614057745106772
PowerSoil-LT-5-2,0.9628757191679547,0.9828878602948321,0.9846026611986255,0.983010146442982,0.9872613635833423,0.9862475943631265,0.9850965001863854,0.9494057849367582,0.9446658325822378,0.12995924709230677,0.1298774037623228,0.12278655056282595,0.9635396876013275,0.9662670825003721,0.9667360085819768,0.9865543739001628,0.9813874939081646,0.9837464945935103,0.9858159915146012,0.9872714115368278,0.983084800756451,0.9466094697745613,0.9434913300804535,0.9462194277162785,0.14196547999130643,0,0.09046290288265943,0.9718706283625712,0.98074026928752,0.9889855625308512,0.9846018263211577,0.9864735973140278,0.9868986286038973,0.986200261153275,0.9493624738768826,0.9499664134616035,0.9461732082872029,0.1898658747296007,0.15352749770569776,0.14717683336001935,0.9677873115451404,0.962593006853705,0.9680040780981197,0.9842411779562992,0.981612366861617,0.9833770612752096,0.9823703187068704,0.9646685162160812,0.9478180198236725,0.9489740012109796,0.945728174899669,0.18350547114675247,0.20213484911324148,0.21319140055604696,0.9678716238751129,0.9724838178532457,0.9649880141082339,0.9852240310002263,0.9836642534500908,0.9841669177522886,0.9848852125516685,0.9850910557800718,0.950063306210452,0.9478504629345856,0.9470297657662066,0.17566089943629384,0.18359889610656968,0.16770169061797527
PowerSoil-LT-5-3,0.979165183726347,0.9894174821441246,0.9896089958455523,0.9895035754489532,0.9925067291013324,0.9909874853494041,0.9902425457830957,0.9795817884322727,0.9758720267868675,0.1130091035275379,0.1003638130053302,0.102335682148569,0.9801130016500584,0.9814354958329331,0.9824276042736586,0.9917295824357021,0.9902246551705703,0.9928765552761345,0.9915866635289883,0.9915703148330862,0.9916840052785074,0.9782562353472369,0.975372269280849,0.9760855008891931,0.1152875095326409,0.09046290288265943,0,0.9862238769152932,0.9882926632640288,0.9934045808408221,0.9927131097819599,0.9918587984412611,0.9906801021305534,0.9909002579879607,0.98081415517599,0.9803394847504266,0.9761231370111488,0.1877900265136034,0.1503983347381534,0.1464932742541266,0.9860703091395684,0.9797380945150915,0.9838205832117614,0.994849991902674,0.9903295579962292,0.9902087536678965,0.9886568947635667,0.9862865564254232,0.9784071062464522,0.9804424684923644,0.9766140109990736,0.163383031741685,0.1824588728874119,0.1886583801280513,0.9802424520756895,0.9854242651001005,0.9827848420460632,0.9908876588654787,0.9920820836446906,0.9903678386588417,0.9908904134722606,0.9901362307722955,0.9815909244693695,0.9795232985922303,0.9778074833702891,0.1478728711817315,0.15646433546864696,0.14222332831525064
ZymoMagbead-HT-1-2,0.27458462673990897,0.4775749464041536,0.4796040929042123,0.4739534943782732,0.49261733291148646,0.48906971567518487,0.4750898727090563,0.7510924995963462,0.7489225867936987,0.9830000358137563,0.9812183139301567,0.9835926406914842,0.21392318692656062,0.21007087337439934,0.2039963739961356,0.47464586420511307,0.471672270873431,0.47173331889314085,0.5043740131128498,0.5138093517307174,0.4910320936660446,0.7466052481001375,0.7483931501548055,0.7589384374111612,0.9865850080469932,0.9718706283625712,0.9862238769152932,0,0.4802008469305436,0.4953783330485794,0.4874010823847251,0.5059765855187575,0.5060236555823483,0.5187156809944067,0.7558745196985631,0.7730646184474955,0.7559720066478106,0.9879001896562007,0.9819806591546817,0.9883881753436792,0.2664297723804827,0.26438106310465864,0.26068198288769345,0.5012389987237797,0.4835195183476982,0.49041404174527586,0.48569052518838235,0.4605764268733381,0.7438208693069606,0.7324223736187417,0.7447131252263086,0.9915037619098024,0.9767626034310767,0.9723389602483808,0.24789445800611157,0.26351796246143844,0.25470516575447805,0.49149525171731634,0.5001320112905792,0.5032552387383171,0.497039942026811,0.4980889218486502,0.7490437893676748,0.7582822468200843,0.77900155069651,0.9801713312691411,0.975280180069783,0.9803322735425174
